@relation train_feature_out-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute 14 numeric
@attribute 15 numeric
@attribute 16 numeric
@attribute 17 numeric
@attribute 18 numeric
@attribute 19 numeric
@attribute 20 numeric
@attribute 21 numeric
@attribute 22 numeric
@attribute 23 numeric
@attribute 24 numeric
@attribute 25 numeric
@attribute 26 numeric
@attribute 27 numeric
@attribute 28 numeric
@attribute 29 numeric
@attribute 30 numeric
@attribute 31 numeric
@attribute 32 numeric
@attribute 33 numeric
@attribute 34 numeric
@attribute 35 numeric
@attribute 36 numeric
@attribute 37 numeric
@attribute 38 numeric
@attribute 39 numeric
@attribute 40 numeric
@attribute 41 {1,2,}

@data
0.93054,0.66827,0.68396,1,0.75671,0.49724,0.43982,0.52488,0.57116,0.46993,0.39288,0.36798,0.46868,0.33258,0.048015,0.18205,0.17908,0.25318,0.050014,0,0,0.24272,0.1761,0.29233,0.62185,0.76805,0.41643,0.34048,0.97384,0.98023,0.57762,0.82593,0.71694,0.58128,0.77292,0.68256,0.73635,1,0.89886,0.92044,1
0.2233,0.04545,0.13292,0.76709,0.79958,0.54814,0.21204,0.81755,1,0.67324,0.60546,0.72646,0.49965,0.38823,0.34269,0.18149,0.19663,0.16731,0.10546,0,0.50647,0.12088,0.23019,0.03715,0,0.017179,0.40618,0.5891,0.67452,0.62452,1,0.78651,0.67041,0.63451,0.89664,0.61744,0.52609,0.99286,0.80017,0.79626,1
0.41957,0.31182,0.62692,1,0.88498,0.39071,0.61579,0.73703,0.60257,0.45561,0.53934,0.37051,0.33272,0.33761,0.19975,0.2186,0.18075,0.12892,0.034099,0,0.622,0.87131,0.18666,0.25432,0.35944,0.88807,0.10739,0.18368,0.40802,0.068037,0,0.27791,1,0.16948,0.36917,0.55125,0.20044,0.29886,0.32281,0.26756,1
0.66001,0.63696,0.8145,1,0.70949,0.48695,0.58437,0.56568,0.49755,0.44622,0.43381,0.31206,0.2902,0.22296,0.081088,0.18263,0.15584,0.17463,0.036199,0,0,0.25409,0.78417,0.65321,0.33526,0.78952,1,0.78131,0.58087,0.88892,0.83419,0.54421,0.42706,0.4895,0.55096,0.49726,0.7664,0.7417,0.57029,0.28698,1
0.63711,0.56896,0.87693,1,0.66707,0.45508,0.59438,0.52938,0.33389,0.35585,0.32279,0.18304,0.20674,0.16096,0,0.097338,0.074041,0.040975,0.087315,0.075981,0.80532,0,0.19437,0.52145,0.65,0.97129,0.73194,0.73296,0.79512,0.28975,0.66301,1,0.97935,0.81077,0.22667,0.14963,0.50915,0.76096,0.68972,0.63988,1
1,0.61876,0.52478,0.67184,0.46324,0.30695,0.36631,0.3267,0.33041,0.2711,0.2976,0.2492,0.28032,0.22486,0.053237,0.14482,0.144,0.091184,0.018091,0,0.05023,0.66833,0.087627,0.1346,0.25992,0,1,0.3937,0.096103,0.23046,0.43007,0.6357,0.039369,0.42146,0.6414,0.17771,0.83071,0.61457,0.33783,0.0041773,1
0.28421,0.11946,0.50287,1,0.92943,0.37066,0.4352,0.67807,0.68691,0.51936,0.44715,0.39126,0.40956,0.32441,0.27968,0.29308,0.11982,0.15291,0.015134,0,0.54848,0.64545,1,0.84039,0.63094,0.32881,0.95806,0.48717,0.30326,0.77414,0.57954,0,0.84604,0.85729,0.63818,0.49226,0.83756,0.81313,0.75174,0.69397,1
0.55871,0.33392,0.65778,1,0.69733,0.22729,0.46418,0.54379,0.42135,0.28017,0.33655,0.23764,0.26276,0.1944,0,0.037916,0.071026,0.21123,0.046608,0.02818,0.76586,1,0.49753,0.45474,0.29531,0.79907,0.69632,0.58058,0.345,0.67874,0.51706,0.81095,0.22075,0.34728,0.62006,0.65072,0.81033,0,0.72001,0.66344,1
0.70354,0.37084,0.49338,1,0.73907,0.34438,0.33289,0.68851,0.66229,0.20515,0.43899,0.44367,0.25258,0.13429,0,0.11067,0.077712,0.14381,0.05742,0.092325,0,0.16789,0.19818,0.30347,0.24208,0.34808,0.76022,0.58263,0.25565,0.66391,1,0.63344,0.42005,0.82553,0.17053,0.41751,0.20853,0.27792,0.38534,0.064818,1
0.38829,0.47287,0.88577,1,0.59554,0.5665,0.69569,0.60785,0.39433,0.37183,0.32728,0.17958,0.18127,0.073682,0.027369,0.086439,0.10706,0.1803,0.10579,0,1,0.65644,0.23404,0.29952,0.46575,0.014289,0,0.19378,0.10424,0.37204,0.44062,0.55356,0.42601,0.39852,0.017826,0.49229,0.62498,0.45402,0.5558,0.6239,1
0.90009,0.79201,0.87753,1,0.83049,0.67633,0.71129,0.67364,0.56392,0.42405,0.53514,0.49001,0.45403,0.39721,0.21214,0.28242,0.26448,0.18992,0.046245,0,0.79103,0.18911,0.5969,0.87684,0.10916,0.16497,1,0.57523,0.59781,0.27611,0.27835,0.64167,0,0.038913,0.37568,0.6244,0.69038,0.70034,0.78153,0.47129,1
0.26316,0.6878,1,0.98027,0.29887,0.66943,0.72572,0.48731,0.83944,0.78843,0.65421,0.69228,0.57749,0.57298,0.42761,0.47397,0.28676,0.1733,0.11661,0,0.51773,0.715,0.51118,0.34397,0,0.53015,0.31429,0.16644,1,0.83403,0.70416,0.94302,0.84944,0.88886,0.77892,0.91734,0.94531,0.2793,0.46525,0.47384,1
0.26406,0.69756,1,0.95503,0.69185,0.71255,0.70104,0.89418,0.95507,0.67921,0.64107,0.45274,0.36836,0.34389,0.33981,0.37257,0.26696,0.11528,0.039988,0,0.73146,0.9759,0.77895,0.61077,0.78099,1,0.73908,0.72622,0.70565,0.57538,0.34339,0,0.54095,0.57001,0.5627,0.70612,0.19473,0.61361,0.47238,0.60849,1
0.55421,1,0.86123,0.69362,0.82874,0.72728,0.78851,0.80763,0.81716,0.75502,0.67451,0.47755,0.34693,0.315,0.22859,0.31373,0.27814,0.24636,0.07836,0,0.10087,0.091063,0.17001,0.22523,0,0.013762,0.27156,0.19722,1,0.3824,0.49656,0.17731,0.3208,0.33424,0.16437,0.34679,0.06351,0.12372,0.26207,0.20403,1
0.92971,1,0.87996,0.93666,0.81695,0.64458,0.53783,0.54574,0.45649,0.25747,0.28956,0.26663,0.17924,0.1867,0.066694,0.14686,0.14153,0.097155,0.017667,0,0.073661,0.41706,0.68915,0.47383,0.83373,0.5698,0,0.067102,0.18285,0.9861,0.51045,1,0.6005,0.50582,0.72508,0.27884,0.33795,0.4197,0.35274,0.48304,1
0.92987,0.71927,0.65891,1,0.77724,0.49315,0.41092,0.71243,0.74113,0.35239,0.3764,0.32726,0.31395,0.26967,0.19306,0.18417,0.078746,0.015126,0.00633,0,1,0.7761,0.70179,0.59547,0.4535,0.57239,0.62031,0.15535,0.116,0.24485,0.09863,0,0.31287,0.21862,0.12927,0.29893,0.14963,0.60217,0.37398,0.55953,1
0.15669,0.36321,0.71383,1,0.52002,0.60513,0.65684,0.75887,0.90923,0.75386,0.74667,0.74428,0.63616,0.70389,0.56483,0.4072,0.26999,0.11505,0.096544,0,0.43814,0.094604,0,0.33158,0.41536,0.28165,0.21801,0.68405,0.76976,0.45142,0.84876,0.73739,0.81149,1,0.66119,0.64704,0.43338,0.78196,0.43928,0.20793,1
0.85383,0.69236,0.7574,1,0.62542,0.4071,0.41987,0.5459,0.56941,0.32071,0.28769,0.29997,0.23862,0.20331,0.14218,0.17042,0.12426,0,0.036792,0.067689,0.16585,0.72951,0.048966,0.64473,0.36033,0.50248,1,0.67011,0,0.90765,0.7246,0.89821,0.40701,0.063089,0.46045,0.15659,0.80949,0.81872,0.21166,0.31919,1
0.31746,0.30668,0.58037,1,0.72538,0.45358,0.57566,0.88545,0.89085,0.57628,0.67816,0.63055,0.45519,0.64328,0.39215,0.36712,0.23794,0.049081,0.025432,0,0.33754,0.88631,1,0.63944,0.13343,0.89576,0.56496,0,0.53641,0.55456,0.58988,0.64145,0.89983,0.73457,0.43767,0.42031,0.10424,0.56755,0.41317,0.56711,1
0.42023,0.69283,0.9499,1,0.34152,0.55226,0.5852,0.39219,0.54862,0.50726,0.49138,0.54638,0.41386,0.47593,0.29743,0.16018,0.085149,0.052964,0,0.05233,0,0.54975,0.76528,0.54599,0.19873,0.9735,0.66657,0.91602,1,0.80691,0.61857,0.69228,0.65418,0.767,0.75448,0.72477,0.59057,0.58373,0.70611,0.6269,1
