 % acoustic_params.win_size: 1024
 % acoustic_params.hop_size: 512
 % acoustic_params.min_freq: 86
 % acoustic_params.max_freq: 2000
 % acoustic_params.num_mel_filts: 20
 % acoustic_params.ITW: 1
@relation train_feature_2_4-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute 14 numeric
@attribute 15 numeric
@attribute 16 numeric
@attribute 17 numeric
@attribute 18 numeric
@attribute 19 numeric
@attribute 20 numeric
@attribute 21 numeric
@attribute 22 numeric
@attribute 23 numeric
@attribute 24 numeric
@attribute 25 numeric
@attribute 26 numeric
@attribute 27 numeric
@attribute 28 numeric
@attribute 29 numeric
@attribute 30 numeric
@attribute 31 numeric
@attribute 32 numeric
@attribute 33 numeric
@attribute 34 numeric
@attribute 35 numeric
@attribute 36 numeric
@attribute 37 numeric
@attribute 38 numeric
@attribute 39 numeric
@attribute 40 numeric
@attribute 41 {1,2,}

@data
0.84406,0.90245,0.94451,1,0.64051,0.60355,0.68229,0.71346,0.78561,0.674,0.59932,0.38261,0.29111,0.23164,0.16135,0.27193,0.26723,0.20104,0.14536,0,1,0.73152,0.36349,0.34698,0.85684,0.25966,0.18273,0.4838,0.15265,0,0.22061,0.61182,0.55566,0.77303,0.63274,0.36658,0.62898,0.51343,0.68496,0.53207,1
0.68879,0.90733,1,0.8998,0.8106,0.98709,0.82647,0.69981,0.79355,0.74286,0.54077,0.35271,0.23073,0.19229,0.11562,0.16617,0.12159,0.17189,0.15061,0,0.78597,0.6299,0.51908,0.46214,0.90843,0.74214,0.66629,0.62609,0.37732,0.2593,0.50526,0.74691,1,0.40578,0.77478,0.83849,0.55548,0.74848,0,0.84731,1
0.81426,0.97738,0.9645,0.95517,0.98421,1,0.81423,0.75794,0.72228,0.51726,0.46405,0.43769,0.30174,0.25787,0.16744,0.10834,0.101,0.063721,0.029747,0,0.48335,0.4603,0.25063,0.78499,0.55056,0,0.60485,0.98107,0.9024,1,0.81557,0.53289,0.48171,0.68631,0.50114,0.67386,0.50463,0.18264,0.53328,0.63781,1
0.65238,0.88816,0.92927,1,0.85654,0.87108,0.76269,0.90471,0.91526,0.6786,0.59008,0.42916,0.25828,0.27727,0.19755,0.22095,0.11225,0.024673,0.0088219,0,0.87037,0.7789,0.34519,0.41714,1,0.78987,0.95475,0.61083,0,0.0071277,0.57593,0.24032,0.04903,0.089779,0.35982,0.51126,0.52626,0.53193,0.49183,0.55955,1
0.50666,0.7392,0.97908,0.91955,0.33777,0.55517,0.52265,0.74089,1,0.83011,0.54562,0.49007,0.53455,0.51171,0.29352,0.1983,0.11773,0.069943,0.012005,0,0,0.28384,0.38125,0.38167,0.32348,0.64311,0.20374,0.66995,0.89639,0.46288,1,0.76898,0.79362,0.62737,0.61348,0.51884,0.41512,0.2668,0.70966,0.66562,1
0.99209,1,0.91556,0.91531,0.46262,0.50222,0.49843,0.67359,0.8929,0.63685,0.27189,0.20427,0.20795,0.19058,0,0.1085,0.22186,0.12619,0.08482,0.032195,0.21193,0.26825,0.15029,0.50648,0.88524,0.7643,0.87359,0.69399,0.67204,0.80447,0.48656,0.39446,0.63287,0.53314,0.43323,1,0.31468,0.22966,0,0.0041318,1
0.75749,0.75367,0.82525,1,0.8209,0.62264,0.71303,0.76458,0.66897,0.55414,0.3065,0.23391,0.29698,0.3039,0.23609,0.21689,0.14245,0.074175,0.012581,0,0.59878,0.6733,0.20709,0.080859,0.010486,0.78901,0.39625,0.55102,0.88785,1,0.37917,0.3983,0.18087,0.19902,0.20484,0.15226,0.59752,0,0.29364,0.26331,1
0.50531,0.50728,0.76879,1,0.82374,0.31979,0.58999,0.66703,0.48702,0.28747,0.31398,0.2458,0.37593,0.364,0.17993,0.2258,0.10783,0.076846,0.045452,0,0.2079,0,0.45156,0.37295,0.26748,0.38623,0.45207,0.461,0.53742,0.61569,0.96687,0.97313,1,0.68149,0.45436,0.63946,0.31636,0.35704,0.39856,0.14197,1
0.40378,0.47984,0.88091,1,0.55423,0.62738,0.87534,0.82289,0.72165,0.6891,0.54855,0.50649,0.61604,0.55322,0.40525,0.44543,0.31609,0.22157,0.18219,0,0.33881,0.48535,0.4998,0.41215,0.1516,0.34896,0,0.050231,0.89376,0.93133,0.43924,1,0.51637,0.61564,0.733,0.64256,0.5441,0.75352,0.48745,0.38457,1
0.552,0.60308,0.92963,1,0.5406,0.68361,0.8392,0.84471,0.93038,0.956,0.83931,0.61862,0.50942,0.5501,0.50433,0.50277,0.41979,0.20902,0.10673,0,0.34244,0.45389,0.19355,0.058586,0,0.58159,0.13353,0.21254,0.60079,0.47865,0.24775,1,0.30646,0.74816,0.53492,0.51063,0.39765,0.32631,0.3102,0.32347,1
0.60585,0.59667,0.86907,1,0.53759,0.5176,0.78426,0.70908,0.55117,0.65713,0.51542,0.22258,0.11114,0.10726,0.18724,0.1968,0.13609,0.02693,0,0.0018395,0.57612,0.71266,0.40101,0.38294,0.49814,0.36652,0.39504,0.5179,0.55886,0.52129,0.54261,0.51508,0.50719,0,0.63555,0.57768,0.57081,0.075921,0.80085,1,1
0.65864,0.63783,0.69271,1,0.7923,0.52841,0.52801,0.72931,0.66642,0.43086,0.36799,0.23162,0.12133,0.18973,0.16403,0.14241,0.10282,0,0.04355,0.1344,0,0.23252,0.54193,0.56903,0.648,0.36504,0.79015,0.67906,0.48329,0.70378,1,0.89026,0.73348,0.47288,0.60936,0.62187,0.18276,0.3284,0.46754,0.47959,1
